chr1	start1	end1	chr2	start2	end2	pets	chr	start	end	dup_sum_pets	gene_ID_sum_pets	percentage	score	rank_gene	gene	rank_enhancer	enhancer
chr1	155153021	155165275	chr1	156071274	156077316	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	155153021	155165275	chr1	155971101	155977214	3	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	2	chr1:155153021-155165275
chr1	155041903	155044329	chr1	155153021	155165275	19	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	1	chr1:155041903-155044329
chr1	154994580	155000099	chr1	155153021	155165275	4	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	3	chr1:154994580-155000099
chr1	154988648	154991263	chr1	155153021	155165275	6	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	2	chr1:154988648-154991263
chr1	155153021	155165275	chr1	155971101	155977214	3	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	2	chr1:155153021-155165275
chr1	155153021	155165275	chr1	156071274	156077316	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	155153021	155165275	chr1	156097714	156100747	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	207082047	207086691	chr1	207222831	207227966	11	chr1	207070000	207170000	34	485	0.0701030927835052	2.38350515463918	1	PFKFB2	2	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207222831	207227966	10	chr1	207070000	207170000	34	485	0.0701030927835052	2.38350515463918	1	PFKFB2	3	chr1:207100157-207101435
chr1	207150991	207156329	chr1	207222831	207227966	13	chr1	207070000	207170000	34	485	0.0701030927835052	2.38350515463918	1	PFKFB2	1	chr1:207150991-207156329
chr1	1253011	1254726	chr1	1259028	1261427	14	chr1	1225000	1390000	14	17	0.823529411764706	11.5294117647059	3	CPTP	1	chr1:1253011-1254726
chr1	22091149	22092289	chr1	22107470	22111259	14	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	2	chr1:22091149-22092289
chr1	22107470	22111259	chr1	22113825	22115612	25	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	1	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22251685	22254996	5	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	5	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22257217	22258909	5	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	5	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22299275	22302053	11	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	3	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22323804	22326978	7	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	4	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22334668	22336423	4	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	6	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22350251	22353296	7	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	4	chr1:22107470-22111259
chr1	22107470	22111259	chr1	22365915	22366971	3	chr1	22050000	22440000	81	85	0.952941176470588	77.1882352941176	2	USP48	7	chr1:22107470-22111259
chr1	235090451	235101280	chr1	235488183	235493575	5	chr1	234690000	235435000	13	16	0.8125	10.5625	3	GGPS1	1	chr1:235090451-235101280
chr1	235248460	235249641	chr1	235488183	235493575	4	chr1	234690000	235435000	13	16	0.8125	10.5625	3	GGPS1	2	chr1:235248460-235249641
chr1	235267026	235268886	chr1	235488183	235493575	4	chr1	234690000	235435000	13	16	0.8125	10.5625	3	GGPS1	2	chr1:235267026-235268886
chr1	235090451	235101280	chr1	235488183	235493575	5	chr1	234690000	235435000	13	16	0.8125	10.5625	3	GGPS1	1	chr1:235090451-235101280
chr1	235248460	235249641	chr1	235488183	235493575	4	chr1	234690000	235435000	13	16	0.8125	10.5625	3	GGPS1	2	chr1:235248460-235249641
chr1	235267026	235268886	chr1	235488183	235493575	4	chr1	234690000	235435000	13	16	0.8125	10.5625	3	GGPS1	2	chr1:235267026-235268886
chr1	22350251	22353296	chr1	22378601	22380581	18	chr1	22050000	22440000	18	18	1	18	3	CDC42	1	chr1:22350251-22353296
chr1	154994580	155000099	chr1	155153021	155165275	4	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	3	chr1:154994580-155000099
chr1	155153021	155165275	chr1	156071274	156077316	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	154988648	154991263	chr1	155153021	155165275	6	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	2	chr1:154988648-154991263
chr1	155041903	155044329	chr1	155153021	155165275	19	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	1	chr1:155041903-155044329
chr1	155153021	155165275	chr1	156097714	156100747	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	155153021	155165275	chr1	155971101	155977214	3	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	2	chr1:155153021-155165275
chr1	154988648	154991263	chr1	155153021	155165275	6	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	2	chr1:154988648-154991263
chr1	155153021	155165275	chr1	155971101	155977214	3	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	2	chr1:155153021-155165275
chr1	155153021	155165275	chr1	156071274	156077316	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	155153021	155165275	chr1	156097714	156100747	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	154994580	155000099	chr1	155153021	155165275	4	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	3	chr1:154994580-155000099
chr1	155041903	155044329	chr1	155153021	155165275	19	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	1	chr1:155041903-155044329
chr1	155153021	155165275	chr1	156097714	156100747	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	154994580	155000099	chr1	155153021	155165275	4	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	3	chr1:154994580-155000099
chr1	155041903	155044329	chr1	155153021	155165275	19	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	1	chr1:155041903-155044329
chr1	154988648	154991263	chr1	155153021	155165275	6	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	2	chr1:154988648-154991263
chr1	155153021	155165275	chr1	155971101	155977214	3	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	2	chr1:155153021-155165275
chr1	155153021	155165275	chr1	156071274	156077316	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	155041903	155044329	chr1	155153021	155165275	19	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	1	chr1:155041903-155044329
chr1	155153021	155165275	chr1	155971101	155977214	3	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	2	chr1:155153021-155165275
chr1	154988648	154991263	chr1	155153021	155165275	6	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	2	chr1:154988648-154991263
chr1	154994580	155000099	chr1	155153021	155165275	4	chr1	154975000	155130000	29	183	0.158469945355191	4.59562841530055	8	MUC1	3	chr1:154994580-155000099
chr1	155153021	155165275	chr1	156097714	156100747	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	155153021	155165275	chr1	156071274	156077316	4	chr1	155975000	156105000	11	183	0.0601092896174863	0.66120218579235	13	MUC1	1	chr1:155153021-155165275
chr1	234699301	234701294	chr1	234734349	234750014	25	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	21	chr1:234699301-234701294
chr1	234725189	234726890	chr1	234734349	234750014	21	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	24	chr1:234725189-234726890
chr1	234734349	234750014	chr1	234753021	234756491	179	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	4	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234758773	234760309	24	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	22	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234762617	234764598	159	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	5	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234767146	234768320	229	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	3	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234773894	234775679	77	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	12	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234788676	234792009	21	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	24	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234792279	234798563	80	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	11	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234801320	234802789	13	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	28	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234803748	234807502	22	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	23	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234811514	234813092	22	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	23	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234818407	234820756	44	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	16	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234834957	234836569	7	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	32	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234842950	234844209	13	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	28	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234844756	234850019	62	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	14	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234851332	234855802	80	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	11	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234856992	234861900	266	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	2	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234886475	234888060	20	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	25	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234907659	234909003	87	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	10	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234916556	234918171	12	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	29	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234952467	234954066	3	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	34	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234958231	234960060	5	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	33	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234977187	234979464	11	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	30	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234980394	234982426	19	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	26	chr1:234734349-234750014
chr1	234734349	234750014	chr1	234996921	234999572	25	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	21	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235001793	235002884	22	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	23	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235009756	235012939	64	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	13	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235029458	235030888	5	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	33	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235034343	235035852	55	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	15	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235043101	235045829	18	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	27	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235053449	235055266	11	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	30	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235059489	235063563	32	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	19	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235090451	235101280	433	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	1	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235105388	235112272	116	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	8	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235113050	235115575	130	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	6	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235116068	235117360	34	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	18	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235122906	235124137	29	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	20	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235132542	235135358	115	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	9	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235143305	235144924	8	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	31	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235146566	235148776	12	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	29	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235246015	235247839	124	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	7	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235248460	235249641	41	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	17	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235256030	235257962	34	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	18	chr1:234734349-234750014
chr1	234734349	234750014	chr1	235267026	235268886	18	chr1	234690000	235435000	2827	3194	0.885097056981841	2502.16938008766	1	IRF2BP2	27	chr1:234734349-234750014
chr1	234767146	234768320	chr1	235529882	235531276	3	chr1	234690000	235435000	3	3	1	3	5	TBCE	1	chr1:234767146-234768320
chr1	10701808	10704454	chr1	10851007	10857898	3	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	14	chr1:10701808-10704454
chr1	10739268	10741392	chr1	10851007	10857898	13	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	9	chr1:10739268-10741392
chr1	10745713	10748234	chr1	10851007	10857898	10	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	10	chr1:10745713-10748234
chr1	10751363	10753373	chr1	10851007	10857898	40	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	3	chr1:10751363-10753373
chr1	10754245	10756538	chr1	10851007	10857898	13	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	9	chr1:10754245-10756538
chr1	10759568	10761011	chr1	10851007	10857898	17	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	7	chr1:10759568-10761011
chr1	10782535	10787801	chr1	10851007	10857898	9	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	11	chr1:10782535-10787801
chr1	10790328	10792454	chr1	10851007	10857898	20	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	6	chr1:10790328-10792454
chr1	10796392	10799675	chr1	10851007	10857898	8	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	12	chr1:10796392-10799675
chr1	10815560	10816792	chr1	10851007	10857898	10	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	10	chr1:10815560-10816792
chr1	10819023	10823247	chr1	10851007	10857898	27	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	4	chr1:10819023-10823247
chr1	10825652	10827299	chr1	10851007	10857898	9	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	11	chr1:10825652-10827299
chr1	10838774	10840732	chr1	10851007	10857898	71	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	2	chr1:10838774-10840732
chr1	10848418	10850181	chr1	10851007	10857898	24	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	5	chr1:10848418-10850181
chr1	10851007	10857898	chr1	10862745	10865386	92	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	1	chr1:10851007-10857898
chr1	10851007	10857898	chr1	10926483	10927938	15	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	8	chr1:10851007-10857898
chr1	10851007	10857898	chr1	10960337	10962143	9	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	11	chr1:10851007-10857898
chr1	10851007	10857898	chr1	10999698	11000742	3	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	14	chr1:10851007-10857898
chr1	10851007	10857898	chr1	11003631	11005026	3	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	14	chr1:10851007-10857898
chr1	10851007	10857898	chr1	11020723	11023752	6	chr1	10690000	11130000	402	437	0.919908466819222	369.803203661327	1	CASZ1	13	chr1:10851007-10857898
chr1	207082047	207086691	chr1	207203505	207210897	7	chr1	207070000	207170000	14	623	0.0224719101123595	0.314606741573034	5	C1orf116	1	chr1:207082047-207086691
chr1	207100157	207101435	chr1	207203505	207210897	7	chr1	207070000	207170000	14	623	0.0224719101123595	0.314606741573034	5	C1orf116	1	chr1:207100157-207101435
chr1	156051659	156052951	chr1	156097714	156100747	15	chr1	155975000	156105000	24	24	1	24	8	MEX3A	1	chr1:156051659-156052951
chr1	156051659	156052951	chr1	156071274	156077316	9	chr1	155975000	156105000	24	24	1	24	8	MEX3A	2	chr1:156051659-156052951
chr1	23028375	23032181	chr1	23669669	23672274	3	chr1	22905000	23075000	3	51	0.0588235294117647	0.176470588235294	1	HNRNPR	1	chr1:23028375-23032181
chr1	23028375	23032181	chr1	23669669	23672274	3	chr1	22905000	23075000	3	51	0.0588235294117647	0.176470588235294	1	HNRNPR	1	chr1:23028375-23032181
chr1	23028375	23032181	chr1	23669669	23672274	3	chr1	22905000	23075000	3	51	0.0588235294117647	0.176470588235294	1	HNRNPR	1	chr1:23028375-23032181
chr1	154579285	154582205	chr1	155009982	155012250	3	chr1	154975000	155130000	6	16	0.375	2.25	9	ADAR	1	chr1:154579285-154582205
chr1	154579285	154582205	chr1	155041903	155044329	3	chr1	154975000	155130000	6	16	0.375	2.25	9	ADAR	1	chr1:154579285-154582205
chr1	95028142	95029988	chr1	95283998	95290403	4	chr1	95020000	95140000	17	51	0.333333333333333	5.66666666666667	2	SLC44A3	2	chr1:95028142-95029988
chr1	95044839	95046107	chr1	95283998	95290403	3	chr1	95020000	95140000	17	51	0.333333333333333	5.66666666666667	2	SLC44A3	3	chr1:95044839-95046107
chr1	95086508	95089214	chr1	95283998	95290403	6	chr1	95020000	95140000	17	51	0.333333333333333	5.66666666666667	2	SLC44A3	1	chr1:95086508-95089214
chr1	95119263	95120810	chr1	95283998	95290403	4	chr1	95020000	95140000	17	51	0.333333333333333	5.66666666666667	2	SLC44A3	2	chr1:95119263-95120810
chr1	201974819	201989272	chr1	201991690	201993675	139	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	7	chr1:201974819-201989272
chr1	201974819	201989272	chr1	201997787	201999174	44	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	13	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202003586	202004958	193	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	6	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202006490	202007830	49	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	11	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202011125	202013280	46	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	12	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202014365	202019138	544	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	1	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202025720	202028260	283	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	5	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202028710	202030651	41	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	14	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202031862	202034435	112	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	8	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202035913	202037156	33	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	15	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202038246	202043332	91	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	9	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202044817	202048065	304	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	4	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202053373	202056915	402	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	3	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202069861	202071747	27	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	16	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202072820	202074014	18	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	17	chr1:201974819-201989272
chr1	201974819	201989272	chr1	202074485	202078378	84	chr1	201970000	202085000	2825	3167	0.892011367224503	2519.93211240922	1	ELF3	10	chr1:201974819-201989272
